species:ncbi:53181	h.chlorotic ringspot virus|H.chlorotic ringspot virus|Hibiscus chlorotic ringspot virus|H. chlorotic ringspot virus|hibiscus chlorotic ringspot virus|h. chlorotic ringspot virus
species:ncbi:53408	pseudomonas citronellolis|P. citronellolis|P.citronellolis|pseudomonas citronellolis Seubert 1960 (Approved Lists 1980) emend. Lang et al. 2007|Pseudomonas citronellolis Seubert 1960 (Approved Lists 1980) emend. Lang et al. 2007|p. citronellolis|p.citronellolis|Pseudomonas citronellolis
species:ncbi:53406	p. anguilliseptica|pseudomonas anguilliseptica Wakabayashi and Egusa 1972|pseudomonas anguilliseptica|p.anguilliseptica Wakabayashi and Egusa 1972|P.anguilliseptica Wakabayashi and Egusa 1972|P.anguilliseptica|Pseudomonas anguilliseptica Wakabayashi and Egusa 1972|Pseudomonas anguilliseptica|p.anguilliseptica|P. anguilliseptica Wakabayashi and Egusa 1972|p. anguilliseptica Wakabayashi and Egusa 1972|P. anguilliseptica
species:ncbi:53418	T.lecithinolyticum|t.lecithinolyticum|treponema lecithinolyticum|T. lecithinolyticum|Treponema lecithinolyticum|Treponema lecithinolytikum|treponema lecithinolytikum|T. lecithinolyticum Wyss et al. 1999|t.lecithinolyticum Wyss et al. 1999|t. lecithinolyticum|treponema lecithinolyticum Wyss et al. 1999|t. lecithinolyticum Wyss et al. 1999|T.lecithinolyticum Wyss et al. 1999|Treponema lecithinolyticum Wyss et al. 1999
species:ncbi:53419	t.socranskii Smibert et al. 1984|T. socranskii Smibert et al. 1984|treponema socranskii|Treponema socranskyi|T.socranskii|Treponema socranskii Smibert et al. 1984|t. socranskii|treponema socranskii Smibert et al. 1984|treponema socranskyi|t.socranskii|Treponema socranskii|t. socranskii Smibert et al. 1984|T.socranskii Smibert et al. 1984|T. socranskii
species:ncbi:53413	X. axonoperis|xanthomonas axonoperis|xanthomonas axonopodis|X. axonopodis|Xanthomonas axonopodis Starr and Garces 1950 (Approved Lists 1980) emend. van den Mooter and Swings 1990|x.axonopodis|Xanthomonas axonopodis|xanthomonas axonopodis Starr and Garces 1950 (Approved Lists 1980) emend. Vauterin et al. 1995|x.axonoperis|Xanthomonas axonoperis|x. axonoperis|X.axonopodis|xanthomonas axonopodis Starr and Garces 1950 (Approved Lists 1980) emend. van den Mooter and Swings 1990|x. axonopodis|Xanthomonas axonopodis Starr and Garces 1950 (Approved Lists 1980) emend. Vauterin et al. 1995|X.axonoperis
species:ncbi:53412	P.resinovorans Delaporte et al. 1961|p. resinovorans|P. resinovorans|Pseudomonas resinovorans Delaporte et al. 1961|P.resinovorans|p.resinovorans Delaporte et al. 1961|pseudomonas resinovorans|P. resinovorans Delaporte et al. 1961|p.resinovorans|Pseudomonas resinovorans|pseudomonas resinovorans Delaporte et al. 1961|p. resinovorans Delaporte et al. 1961
species:ncbi:53435	s.paraluis|T. cuniculi|t.paraluiscuniculi|T.paraluiscuniculi|T.paraluis-cuniculi|T.pallidum var. cuniculi|treponema paraluiscuniculi corrig. (Jacobsthal 1920) Smibert 1974|spirochaeta paraluis|S. paraluis|S. paraluis-cuniculi|s. cuniculi|s. paraluis|t.paraluiscuniculi corrig. (Jacobsthal 1920) Smibert 1974|Treponema paraluiscuniculi|s.pallida var. cuniculi|Treponema cuniculi|S.cuniculi|treponema paraluis-cuniculi|T.cuniculi|t.pallidum var. cuniculi|t. paraluis-cuniculi|spirochaeta cuniculi|Spirochaeta paraluis-cuniculi|S.paraluis-cuniculi|t. pallidum var. cuniculi|Spirochaeta pallida var. cuniculi|t.cuniculi|Treponema paraluiscuniculi corrig. (Jacobsthal 1920) Smibert 1974|t.paraluis-cuniculi|treponema cuniculi|T.paraluiscuniculi corrig. (Jacobsthal 1920) Smibert 1974|s. paraluis-cuniculi|spirochaeta pallida var. cuniculi|s.cuniculi|T. paraluis-cuniculi|T. pallidum var. cuniculi|treponema paraluiscuniculi|S. cuniculi|t. paraluiscuniculi corrig. (Jacobsthal 1920) Smibert 1974|treponema pallidum var. cuniculi|Treponema pallidum var. cuniculi|T. paraluiscuniculi|t. paraluiscuniculi|spirochaeta paraluis-cuniculi|S.paraluis|T. paraluiscuniculi corrig. (Jacobsthal 1920) Smibert 1974|S. pallida var. cuniculi|Spirochaeta cuniculi|s.paraluis-cuniculi|t. cuniculi|Treponema paraluis-cuniculi|s. pallida var. cuniculi|S.pallida var. cuniculi|Spirochaeta paraluis
species:ncbi:53485	p.teres|Drechslera terres|p. teres|d. terres|D. terres|barley net-spot blotch disease agents|Pyrenophora teres|d.terres|D.terres|barley net-spot blotch disease agent|drechslera terres|P. teres|P.teres|Barley net-spot blotch disease agent|Barley net-spot blotch disease agents|pyrenophora teres
species:ncbi:637930	a.melegueta|aframomum melegueta K.Schum.|A. melegueta|Aframomum melegueta|a. melegueta|aframomum melegueta|Aframomum melegueta K.Schum.|A.melegueta
